,manage_no,approval_date,business_state,detailed_state,phone_no,store_size,postal_code,address,road_address,road_addr_postal_code,name,updated_date,renewed_date,type,coords_X,coords_Y,longitude,latitude
135,3200000-102-2004-00007,20041130,영업/정상,영업,02  878 8646,56.56,151890,서울특별시 관악구 신림동 1422-20 ,"서울특별시 관악구 남부순환로181길 6 (신림동, 지하1층)",8754,스머프,2022-01-12 10:23:50,2022-01-14 02:40:00.0,룸살롱,193838.00572287,442520.948016475,126.93111780479524,37.484861919002455
136,3200000-102-2005-00001,20050118,영업/정상,영업,02 8777726,78.69,151834,서울특별시 관악구 봉천동 851-19번지 ,서울특별시 관악구 관악로 196 (봉천동),8737,유성노래빠주점,2019-08-30 15:30:15,2019-09-01 02:40:00.0,룸살롱,195844.387823458,442242.286588549,126.95380472884712,37.48236251489718
137,3200000-102-2005-00003,20050304,영업/정상,영업,02  872 5064,49.83,151848,서울특별시 관악구 봉천동 855-1번지 ,"서울특별시 관악구 관악로14길 14, 지하1층 (봉천동)",8788,캐슬주점,2013-06-03 13:48:22,2018-08-31 23:59:59.0,룸살롱,195798.749153753,441877.380208228,126.95329084143071,37.479074493441
138,3200000-102-1999-09254,19991215,영업/정상,영업,0234868939,98.98,151800,서울특별시 관악구 남현동 1061-14번지 ,서울특별시 관악구 남현1길 68-18 (남현동),8807,하와이,2019-05-31 09:17:40,2019-06-04 02:40:00.0,룸살롱,198265.804887714,441420.257124856,126.98118378807314,37.4749638952429
139,3200000-102-1999-07733,19991215,영업/정상,영업,02 8887663,297.44,151892,서울특별시 관악구 신림동 1433-86번지 ,서울특별시 관악구 남부순환로 1597 (신림동),8759,프랑스스텐드바,2020-05-26 16:33:12,2020-05-28 02:40:00.0,스텐드바,193550.979729291,442458.424808358,126.92787307535568,37.484296606474665
140,3200000-102-1979-07811,19790714,영업/정상,영업,02 8777295,77.67,151891,서울특별시 관악구 신림동 1429-16 ,서울특별시 관악구 신림로 387 (신림동),8707,홀인원,2020-10-16 10:03:55,2020-10-18 02:40:00.0,룸살롱,193567.255349472,442940.902180929,126.92805283920076,37.48864384307327
141,3200000-102-1980-07815,19800123,영업/정상,영업,,98.23,151930,서울특별시 관악구 신림동 1641-10 ,서울특별시 관악구 신림로 322-1 (신림동),8777,텐프로,2021-09-02 10:12:54,2021-09-04 02:40:00.0,간이주점,193748.074171906,442333.077344404,126.93010259754271,37.48316859290068
142,3200000-102-2005-00002,20050218,영업/정상,영업,02849 716,66.00,151892,서울특별시 관악구 신림동 1431-10,서울특별시 관악구 신림로 363-1 (신림동),8760,퍼펙트 노래바,2022-11-30 11:35:08,2021-11-02 00:02:00.0,룸살롱,193646.560679034,442722.612162982,126.92895145878356,37.48667760410126
143,3200000-102-2005-00005,20050913,영업/정상,영업,02 8897753,81.70,151930,서울특별시 관악구 신림동 1640-13 지상4층 ,"서울특별시 관악구 신림로 329 (신림동,지상4층)",8776,원?투?쓰리,2021-06-29 16:11:23,2021-07-01 02:40:00.0,룸살롱,193688.002534384,442387.531613201,126.9294229366971,37.48365881379191
144,3200000-102-2006-00001,20060407,영업/정상,영업,02 8719815,25.76,151892,서울특별시 관악구 신림동 1431-20 지상2층 ,"서울특별시 관악구 신림로67길 8 (신림동,지상2층)",8760,짱노래주점,2020-11-24 09:17:07,2020-11-26 02:40:00.0,룸살롱,193625.846146877,442672.467725354,126.9287176809818,37.48622565853803
145,3200000-102-2006-00002,20060807,영업/정상,영업,02 8854722,81.78,151836,서울특별시 관악구 봉천동 863-4번지 ,서울특별시 관악구 관악로 157 (봉천동),8787,테마노래바,2019-11-13 13:38:23,2019-11-15 02:40:00.0,룸살롱,195689.145054044,441921.6586638,126.95205142598527,37.479472930856446
