district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,AA010 1-1RZ 나들목공원(대학동 218-1),37.4694,126.9447,1,1,2022.0,12.0,,서울,관악구,225,30,,,서울 관악구 신림동 225-30
관악구,AA011 1-1RZ 나들목공원(대학동 218-1),37.469,126.9442,1,1,2022.0,12.0,,서울,관악구,217,7,,,서울 관악구 신림동 217-7
관악구,AA012 1-1RZ 동네뒷산공원(대학동 산24-9),37.468,126.94,1,1,2022.0,12.0,,서울,관악구,24,9,,,서울 관악구 신림동 산 24-9
관악구,AA013 1-1RZ 동네뒷산공원(대학동 산24-9),37.4679,126.9404,1,1,2022.0,12.0,,서울,관악구,24,9,,,서울 관악구 신림동 산 24-9
관악구,AB002 1-1RZ 문성어린이공원#2(미성동 산 197-102),37.4777,126.9188,1,1,2022.0,12.0,,서울,관악구,594,7,,,서울 관악구 신림동 594-7
관악구,AB001 1-1R 문성어린이공원#1(미성동 산 197-60),37.4778,126.9168,1,1,2022.0,12.0,,서울,관악구,197,3,,,서울 관악구 신림동 산 197-3
관악구,AB003 1-1RL 문성어린이공원#3(미성동 597-47),37.4777,126.9198,1,1,2022.0,12.0,,서울,관악구,597,176,,,서울 관악구 신림동 597-176
관악구,AB004 1-1RZ 문성어린이소공원 (조원동 1661-15),37.4819,126.9029,1,1,2022.0,12.0,,서울,관악구,1661,15,,,서울 관악구 신림동 1661-15
관악구,AB005 1-1R 장미어린이공원 (행운동 148-103),37.4792,126.9624,1,1,2022.0,12.0,,서울,관악구,148,103,,,서울 관악구 봉천동 148-103
관악구,AB006 1-1RL 선봉어린이공원 (은천동 942-29),37.4851,126.9395,1,1,2022.0,12.0,,서울,관악구,942,29,,,서울 관악구 봉천동 942-29
관악구,AB007 1-1RZ 해바라기어린이공원 (삼성동 321-5),37.462,126.9303,1,1,2022.0,12.0,,서울,관악구,321,5,,,서울 관악구 신림동 321-5
관악구,AB008 1-1RZ 난우어린이집공원 (미성동 1482-1),37.4802,126.9141,1,1,2022.0,12.0,,서울,관악구,1482,1,,,서울 관악구 신림동 1482-1
관악구,AB009 1-1R 난곡어린이공원 (미성동 1563-56),37.474,126.9153,1,1,2022.0,12.0,,서울,관악구,1563,56,,,서울 관악구 신림동 1563-56
관악구,AB012 1-1R 난곡공원 (난향동 산105-12),37.4658,126.9173,1,1,2022.0,12.0,,서울,관악구,685,61,,,서울 관악구 신림동 685-61
관악구,AB010 1-1RZ 낙성대지구 (낙성대동 산56-3),37.4757,126.9561,1,1,2022.0,12.0,,서울,관악구,55,2,,,서울 관악구 봉천동 산 55-2
관악구,"AB011 1-1RZ 관악산공원 (대학동 산32-23,야외식물원 주변 둘레길 입구)",37.4635,126.9481,1,1,2022.0,12.0,,서울,관악구,32,23,,,서울 관악구 신림동 산 32-23
관악구,AB013 1-1RZ 생태체험길 입구 (삼성동 산68-2),37.4632,126.9337,1,1,2022.0,12.0,,서울,관악구,68,3,,,서울 관악구 신림동 산 68-3
관악구,AB014 1-1RLZ 모래내공원#1(낙성대동 1613-19),37.4778,126.9554,1,1,2022.0,12.0,,서울,관악구,1613,19,,,서울 관악구 봉천동 1613-19
관악구,AB015 1-1RZ 모래내공원#2(낙성대동 1613-19),37.4777,126.9558,1,1,2022.0,12.0,,서울,관악구,1613,19,,,서울 관악구 봉천동 1613-19
관악구,AB017 1-1RZ 문성어린이공원#4(미성동 산 197-3),37.4777,126.9177,1,1,2022.0,12.0,,서울,관악구,594,20,,,서울 관악구 신림동 594-20
관악구,AB019 1-1RZ 안전한산책로#3(난향동 산 102-12),37.4575,126.9204,1,1,2022.0,12.0,,서울,관악구,102,12,,,서울 관악구 신림동 산 102-12
관악구,AB018 1-1RZ 안전한산책로#2(난향동 산 102-12),37.4577,126.9186,1,1,2022.0,12.0,,서울,관악구,103,2,,,서울 관악구 신림동 산 103-2
관악구,AC001 1-1R 낙성대야외놀이마당 (낙성대동 291-8),37.4739,126.96,1,1,2022.0,12.0,,서울,관악구,759,6,,,서울 관악구 봉천동 759-6
관악구,AC002 1-1R 낙성대야외놀이마당 (낙성대동 287),37.4732,126.9597,1,1,2022.0,12.0,,서울,관악구,287,,,,서울 관악구 봉천동 287
관악구,AC003 1-1R 학다리어린이공원 (보라매동 647-175),37.4888,126.9376,1,1,2022.0,12.0,,서울,관악구,647,175,,,서울 관악구 봉천동 647-175
관악구,AC004 1-1RZ 사우촌어린이공원 (대학동 1555-1),37.4675,126.9342,1,1,2022.0,12.0,,서울,관악구,1555,1,,,서울 관악구 신림동 1555-1
관악구,AC005 1-1RZ 미림어린이공원 (대학동 254-256),37.4665,126.9353,1,1,2022.0,12.0,,서울,관악구,254,256,,,서울 관악구 신림동 254-256
관악구,AC006 1-1RZ 난우어린이공원 (난곡동 652-160),37.4664,126.9219,1,1,2022.0,12.0,,서울,관악구,661,80,,,서울 관악구 신림동 661-80
관악구,AD002 1-1RZ 생태육교 남쪽 (남현동 산55-5),37.4752,126.9709,1,1,2022.0,12.0,,서울,관악구,55,5,,,서울 관악구 남현동 산 55-5
관악구,AC007 1-1RZ 동네뒷산공원(난곡동 661-62),37.4652,126.9208,1,1,2022.0,12.0,,서울,관악구,92,3,,,서울 관악구 신림동 산 92-3
관악구,AD001 1-1RZ 관악산 등산로 입구 (남현동 496-3),37.471,126.9724,1,1,2022.0,12.0,,서울,관악구,721,4,,,서울 관악구 남현동 721-4
